序号|股票代码|股票简称|最新价|阶段涨跌幅|连续换手率|资金流入净额
1|688795|摩尔线程|600.5|425.46%|85.49%|5.13亿
2|001280|中国铀业|65.89|268.31%|182.84%|2165.57万
3|000078|海王生物|5.29|115.04%|124.84%|-7181.14万
4|301136|招标股份|26.87|97.57%|205.09%|-5.14亿
5|002702|海欣食品|9.55|91.77%|293.60%|-15.34亿
6|300102|乾照光电|23.88|77.15%|197.71%|15.33亿
7|688523|航天环宇|43.8|76.54%|328.52%|-1.73亿
8|603778|国晟科技|12.88|75.24%|216.35%|-8.34亿
9|688048|长光华芯|128.82|72.91%|108.45%|-8256.43万
10|002792|通宇通讯|29.47|72.34%|212.56%|-6764.76万
11|002565|顺灏股份|11.9|72.21%|125.25%|-5.81亿
12|301148|嘉戎技术|55.22|70.91%|99.40%|-2.67亿
13|603696|安记食品|19.47|69.01%|110.86%|-6.94亿
14|000547|航天发展|20.57|65.89%|319.70%|6.57亿
15|000510|新金路|10.41|63.68%|199.98%|-3.42亿
16|603933|睿能科技|29.61|60.92%|129.78%|-9.89亿
17|600151|航天机电|13.65|60.21%|88.20%|-9.56亿
18|003018|金富科技|20.17|58.32%|230.07%|-7.52亿
19|002300|太阳电缆|10.36|57.45%|67.90%|-3.69亿
20|301111|粤万年青|26.35|57.13%|161.19%|-1.30亿
21|002632|道明光学|15.0|57.07%|110.09%|-6.22亿
22|600343|航天动力|28.22|56.78%|231.04%|-12.24亿
23|301529|福赛科技|85.85|54.57%|115.79%|5022.41万
24|301183|东田微|136.78|53.20%|202.81%|5.77亿
25|002413|雷科防务|8.79|51.81%|289.43%|-38.67亿
26|300421|力星股份|28.78|51.79%|204.61%|5.11亿
27|002589|瑞康医药|4.26|51.06%|84.08%|-4.94亿
28|301232|飞沃科技|77.8|49.13%|154.82%|5042.85万
29|600828|茂业商业|6.03|48.16%|55.79%|-3.79亿
30|603216|梦天家居|30.76|47.18%|82.29%|-9939.97万
31|300269|联建光电|7.64|45.80%|245.07%|-6446.93万
32|300885|海昌新材|27.6|45.42%|95.50%|1.49亿
33|300456|赛微电子|48.18|43.86%|291.18%|1.07亿
34|688227|品高股份|70.1|43.00%|100.50%|-6.82亿
35|600730|中国高科|13.78|42.80%|98.96%|1.57亿
36|605086|龙高股份|41.9|42.42%|41.64%|4744.67万
37|601399|国机重装|4.63|41.59%|26.42%|-5084.78万
38|603386|骏亚科技|16.65|41.58%|31.66%|-8.34亿
39|301040|中环海陆|30.51|40.66%|133.07%|-1.16亿
40|002353|杰瑞股份|71.33|40.17%|29.40%|-18.69亿
41|301510|固高科技|39.91|38.10%|85.95%|3.58亿
42|301043|绿岛风|56.12|37.89%|76.03%|-6955.68万
43|002682|龙洲股份|7.88|37.76%|160.40%|-2.92亿
44|000070|特发信息|14.38|37.61%|259.15%|-7.60亿
45|603163|圣晖集成|59.06|37.16%|52.18%|9641.31万
46|600868|梅雁吉祥|3.81|37.05%|144.90%|-6.95亿
47|603929|亚翔集成|71.24|35.70%|28.36%|1.31亿
48|001330|博纳影业|8.8|35.38%|93.39%|4509.47万
49|001233|海安集团|64.8|35.00%|294.50%|-3.85亿
50|300762|上海瀚讯|33.62|34.97%|125.49%|13.95亿
51|301005|超捷股份|69.61|34.64%|172.56%|-2.61亿
52|600981|苏豪汇鸿|3.71|34.42%|48.48%|-5.86亿
53|688270|臻镭科技|75.5|34.32%|77.95%|10.39亿
54|300394|天孚通信|198.75|33.99%|59.90%|61.16亿
55|600800|渤海化学|5.05|33.95%|36.28%|8524.62万
56|301526|国际复材|7.25|33.76%|52.00%|10.09亿
57|605299|舒华体育|12.95|33.64%|50.16%|-3.35亿
58|301550|斯菱股份|117.74|33.49%|70.75%|8.71亿
59|002723|小崧股份|9.54|33.05%|76.68%|5099.73万
60|002578|闽发铝业|4.96|32.98%|119.13%|-2.27亿
61|603327|福蓉科技|12.75|32.95%|73.93%|-12.05亿
62|300115|长盈精密|43.31|32.49%|113.12%|51.39亿
63|301117|佳缘科技|50.11|32.39%|327.48%|-1.75亿
64|300940|南极光|31.15|31.88%|60.62%|3.99亿
65|300620|光库科技|145.72|31.87%|134.70%|9.90亿
66|600734|实达集团|6.09|31.82%|267.39%|-20.39亿
67|600802|福建水泥|8.46|31.37%|127.94%|-4856.33万
68|002787|华源控股|12.93|31.27%|68.62%|2072.05万
69|300503|昊志机电|34.47|30.92%|90.14%|4.19亿
70|300952|恒辉安防|35.2|30.90%|92.45%|2.47亿
71|002519|银河电子|6.08|30.75%|148.47%|-8.06亿
72|300749|顶固集创|12.76|30.74%|56.80%|3052.05万
73|301019|宁波色母|28.45|30.56%|127.72%|-1.07亿
74|301306|西测测试|66.3|30.36%|100.56%|3.74亿
75|002830|名雕股份|22.66|30.16%|65.89%|-1.31亿
76|002348|高乐股份|6.2|29.98%|41.05%|-3.01亿
77|300751|迈为股份|125.02|29.55%|61.22%|10.78亿
78|300570|太辰光|112.36|29.15%|124.54%|18.28亿
79|300053|航宇微|17.46|29.05%|149.29%|-1.82亿
80|002222|福晶科技|52.52|28.73%|71.78%|7.12亿
81|688671|碧兴物联|27.08|28.46%|62.37%|-1116.98万
82|688066|航天宏图|29.4|28.44%|101.47%|5200.23万
83|688160|步科股份|107.88|28.43%|27.32%|2.30亿
84|688711|宏微科技|27.96|28.37%|68.85%|1.30亿
85|688682|霍莱沃|39.8|28.06%|37.52%|7229.72万
86|688260|昀冢科技|34.12|27.98%|136.48%|-2.95亿
87|002512|达华智能|6.48|27.56%|182.44%|-6.14亿
88|300903|科翔股份|20.52|27.37%|144.59%|665.31万
89|688319|欧林生物|27.39|27.34%|19.05%|2.02亿
90|688670|金迪克|26.53|27.12%|95.23%|-2.09亿
91|603286|日盈电子|53.0|27.10%|103.10%|-3.28亿
92|002149|西部材料|20.52|26.98%|75.63%|8.63亿
93|002961|瑞达期货|26.71|26.89%|29.13%|678.38万
94|300900|广联航空|21.36|26.77%|81.01%|3.24亿
95|002379|宏创控股|24.49|26.63%|16.19%|2923.58万
96|301486|致尚科技|91.85|26.60%|53.94%|2282.23万
97|300819|聚杰微纤|28.96|26.52%|51.42%|-156.08万
98|300509|新美星|13.17|26.51%|102.54%|-2467.46万
99|002487|大金重工|58.2|26.49%|37.73%|5.12亿
100|000701|厦门信达|7.86|26.37%|146.73%|-8901.06万
101|688539|高华科技|41.08|26.17%|72.81%|1.16亿
102|301517|陕西华达|52.6|26.11%|100.06%|2.36亿
103|600678|四川金顶|12.07|25.99%|209.88%|-5.58亿
104|000788|北大医药|7.35|25.86%|162.85%|-3.01亿
105|300502|新易盛|377.51|25.84%|53.02%|72.37亿
106|688607|康众医疗|35.8|25.83%|28.77%|2295.02万
107|300455|航天智装|28.93|25.78%|109.84%|2.90亿
108|300638|广和通|29.65|25.42%|149.95%|9.34亿
109|603906|龙蟠科技|21.15|25.37%|121.63%|-10.46亿
110|600105|永鼎股份|17.12|25.33%|133.61%|-6.25亿
111|603130|云中马|43.85|25.32%|26.90%|3748.63万
112|000530|冰山冷热|7.56|25.17%|147.88%|-2.30亿
113|002575|群兴玩具|7.21|24.74%|125.69%|-2.81亿
114|003009|中天火箭|62.45|24.68%|94.00%|-3.19亿
115|002585|双星新材|6.93|24.64%|44.05%|-4.27亿
116|688033|天宜新材|6.81|24.50%|79.60%|-2.83亿
117|600345|长江通信|28.81|24.50%|55.72%|1.42亿
118|688209|英集芯|22.93|24.42%|34.27%|1.20亿
119|300884|狄耐克|16.1|24.13%|88.63%|2.57亿
120|603709|中源家居|18.23|24.10%|31.73%|-8698.19万
121|600711|盛屯矿业|13.93|24.04%|57.13%|11.51亿
122|600103|青山纸业|4.24|23.98%|128.79%|-2.16亿
123|688244|永信至诚|23.92|23.94%|47.84%|-7659.43万
124|002114|罗平锌电|9.39|23.88%|148.24%|-3.40亿
125|300593|新雷能|25.77|23.78%|95.86%|4.04亿
126|301225|恒勃股份|106.26|23.56%|102.11%|2.57亿
127|300932|三友联众|13.32|23.45%|55.19%|4016.02万
128|000823|超声电子|14.39|23.41%|49.08%|2.56亿
129|688562|航天软件|21.06|23.37%|91.84%|1.84亿
130|000807|云铝股份|28.31|23.36%|15.24%|9.84亿
131|300129|泰胜风能|9.11|23.27%|60.27%|3.24亿
132|301408|华人健康|16.74|23.18%|221.19%|-1.68亿
133|000603|盛达资源|27.66|23.15%|41.32%|3.55亿
134|603162|海通发展|13.29|23.06%|151.43%|-4.79亿
135|605365|立达信|19.68|23.00%|16.77%|-9318.49万
136|688360|德马科技|22.38|22.97%|25.61%|1.34亿
137|688147|微导纳米|65.58|22.90%|131.82%|6842.85万
138|603766|隆鑫通用|16.01|22.78%|14.38%|4.72亿
139|002548|金新农|5.94|22.73%|69.69%|-6701.05万
140|601100|恒立液压|112.98|22.60%|11.77%|2.46亿
141|301189|奥尼电子|40.18|22.50%|46.31%|5352.50万
142|301292|海科新源|66.41|22.44%|300.40%|1.28亿
144|688167|炬光科技|144.99|22.24%|66.43%|2.42亿
145|688323|瑞华泰|17.51|22.11%|27.63%|4706.04万
146|600595|中孚实业|8.01|22.10%|19.15%|4.49亿
147|301383|天键股份|37.4|22.02%|96.29%|729.56万
148|001360|南矿集团|18.84|22.02%|142.84%|-8868.68万
149|000960|锡业股份|27.01|21.94%|29.79%|6.95亿
150|000630|铜陵有色|5.84|21.92%|24.77%|12.70亿
151|600879|航天电子|12.69|21.90%|51.44%|9.77亿
152|002026|山东威达|16.49|21.88%|39.98%|2.93亿
153|300300|海峡创新|17.78|21.86%|304.26%|1.52亿
154|688418|震有科技|32.73|21.72%|35.21%|3.03亿
155|600855|航天长峰|18.45|21.70%|112.73%|-2.95亿
156|002795|永和智控|6.85|21.67%|110.08%|-8924.45万
157|603121|华培动力|18.0|21.54%|33.73%|7693.38万
158|000993|闽东电力|14.14|21.48%|81.53%|-1.72亿
159|600362|江西铜业|43.32|21.45%|22.37%|5.97亿
160|002398|垒知集团|6.59|21.36%|187.04%|-2.60亿
161|603993|洛阳钼业|18.42|21.34%|12.33%|26.33亿
162|688153|唯捷创芯|38.4|21.29%|16.35%|2.41亿
163|600118|中国卫星|48.31|21.23%|51.87%|14.70亿
164|605255|天普股份|138.0|21.22%|44.00%|1636.96万
165|600272|开开实业|16.86|21.21%|188.79%|-4.21亿
166|600033|福建高速|4.35|21.17%|52.48%|-3.63亿
167|301191|菲菱科思|101.77|21.00%|85.11%|-1.85亿
168|688313|仕佳光子|86.2|20.95%|63.65%|10.77亿
169|603036|如通股份|22.52|20.88%|36.25%|1.23亿
170|688583|思看科技|96.66|20.70%|45.13%|5587.52万
