股票代码|股票简称|行业|市场
000001|平安银行|银行|主板
000002|万科Ａ|全国地产|主板
000004|*ST国华|软件服务|主板
000006|深振业Ａ|区域地产|主板
000007|全新好|其他商业|主板
000008|神州高铁|运输设备|主板
000009|中国宝安|电气设备|主板
000010|美丽生态|建筑工程|主板
000011|深物业A|房产服务|主板
000012|南玻Ａ|玻璃|主板
000014|沙河股份|全国地产|主板
000016|深康佳Ａ|家用电器|主板
000017|深中华A|服饰|主板
000019|深粮控股|农业综合|主板
000020|深华发Ａ|元器件|主板
000021|深科技|元器件|主板
001872|招商港口|港口|主板
000025|特力Ａ|综合类|主板
000026|飞亚达|服饰|主板
000027|深圳能源|火力发电|主板
000028|国药一致|医药商业|主板
000029|深深房Ａ|区域地产|主板
000030|富奥股份|汽车配件|主板
000031|大悦城|全国地产|主板
000032|深桑达Ａ|建筑工程|主板
000034|神州数码|软件服务|主板
000035|中国天楹|环境保护|主板
000036|华联控股|全国地产|主板
000037|深南电A|火力发电|主板
000039|中集集团|运输设备|主板
000042|中洲控股|全国地产|主板
001914|招商积余|房产服务|主板
000045|深纺织Ａ|元器件|主板
000048|京基智农|农业综合|主板
000049|德赛电池|电气设备|主板
000050|深天马Ａ|元器件|主板
000055|方大集团|其他建材|主板
000056|皇庭国际|其他商业|主板
000058|深赛格|商品城|主板
000059|华锦股份|石油加工|主板
000060|中金岭南|铅锌|主板
000061|农产品|农业综合|主板
000062|深圳华强|元器件|主板
000063|中兴通讯|通信设备|主板
000065|北方国际|建筑工程|主板
000066|中国长城|IT设备|主板
000068|华控赛格|环境保护|主板
000069|华侨城Ａ|全国地产|主板
000070|特发信息|通信设备|主板
000078|海王生物|医药商业|主板
000088|盐田港|港口|主板
000089|深圳机场|机场|主板
000090|天健集团|建筑工程|主板
000096|广聚能源|石油贸易|主板
000099|中信海直|空运|主板
000100|TCL科技|元器件|主板
000151|中成股份|商贸代理|主板
000153|丰原药业|化学制药|主板
000155|川能动力|新型电力|主板
000156|华数传媒|影视音像|主板
000157|中联重科|工程机械|主板
000158|常山北明|软件服务|主板
000159|国际实业|石油贸易|主板
000301|东方盛虹|化纤|主板
000400|许继电气|电气设备|主板
000401|金隅冀东|水泥|主板
000402|金融街|全国地产|主板
000403|派林生物|生物制药|主板
000404|长虹华意|家用电器|主板
000407|胜利股份|供气供热|主板
000408|藏格矿业|农药化肥|主板
000409|云鼎科技|软件服务|主板
000410|沈阳机床|机床制造|主板
000411|英特集团|医药商业|主板
000415|渤海租赁|多元金融|主板
000417|合百集团|百货|主板
